ID,Nome,Saldo,Level,Eventos,Total_Recebido,Total_Sacado
1276439186513203234,"Tmaiusculo",91988180,6,0,92365180,377000
458026581361950780,"BSAlGunner",77761119,6,0,87761119,10000000
1277808628320964701,"Miihsaki",34294979,5,0,58546072,24251093
334126478457307136,"Cominhos",28448431,6,0,48448431,20000000
913832976784166923,"SoulTavio",21147537,3,0,35147537,14000000
715328489938616332,"Vtracer",20006497,6,0,87036500,67030003
661980880704765953,"RozaKiller",17018604,3,0,17018604,0
1318760627430232068,"Sabedoria7",16729039,5,0,51606345,34877306
514559202400796697,"Porquitchonna",15376778,3,0,17376778,2000000
427599422839455745,"Xiitos",15063509,6,0,35063509,20000000
367435864894210049,"killme",14779024,6,0,50979025,36200001
416755948389007364,"buracaobama",10687266,3,0,10687266,0
490500694080487443,"Pedrinhoric1",10200000,1,0,12200000,2000000
415262593217986562,"SHEIKDOPONTILHAO",10075455,1,0,11075455,1000000
952462089883103243,"Xotinhadecoco",10000000,1,0,10000000,0
244264130234679296,"Nagacaburos",10000000,5,0,43149321,33149321
400497884648177665,"Davimix",9242167,4,0,89942167,80700000
423268983505027074,"Minemin",8968231,4,0,8968231,0
638458906716143637,"MachoAlpha",8603690,4,0,8603690,0
346061583354691584,"BonePlating",8556503,3,0,8556503,0
326472856206835713,"MonetaryMike",8176035,3,0,8176035,0
1399915252744716301,"SmithTezzyy",6905786,4,0,6905786,0
484445694485331982,"Raguinaroqui",6620787,5,0,16620788,10000001
275412641847967745,"zNeii",6615942,5,0,6615942,0
450421056503545866,"charopecomch",6317176,6,0,13317176,7000000
469574895014248448,"XlShanksXl",5381298,1,0,5381298,0
698204412342173816,"avven1996",4903542,4,0,4903542,0
1458956869744722127,"DanoCritico",3189866,1,0,3189866,0
460471806944477185,"zheeest",3134587,3,0,3134587,0
1246520347193376808,"Executador",2617516,4,0,2617516,0
721162606198390825,"Leygrin",2600000,1,0,2600000,0
1439063522146517202,"Thoffice",2545040,1,0,2545040,0
766727465652453407,"Dsn",2539197,3,0,15939197,13400000
478996305440669707,"VULT0",2403810,3,0,20403810,18000000
761058796357156875,"ZK03",2271186,1,0,2271186,0
377467401647947778,"Iyatzo",2227250,3,0,2227272,22
539488665663963165,"goncalves23",1715840,2,0,17815840,16100000
744014919355203685,"ID:744014919355203685",1420000,3,0,6016111,4596111
875544664286064650,"M1TO",1197430,4,0,1197430,0
381493092886380555,"Kristal5",1197430,4,0,1197430,0
608355472155869185,"Davi🥋",1160000,1,0,1160000,0
600614116587208704,"mariomalan",869152,1,0,869152,0
1030741062848880662,"Morrty",794801,3,0,794801,0
1063850136410787870,"hellter77",745125,1,0,745125,0
329088072845099008,"DaPraia013",735525,1,0,735525,0
899398727645687818,"Jokker1998",168311,6,0,39917319,39749008
1051902816131743775,"Jordans18",104845,1,0,104845,0
446719617604386842,"AnyCoffee",59507,1,0,59507,0
395900373191360516,"TUGAUNICO",570,1,0,570,0
